JobCategoryId,JobCategory
1,Accounting Assistant
4,Call Center
11,Finance Assistant
13,Healthcare
16,Restaurant Associate
27,Security Guard
31,Truck Driver
35,Customer Service
36,Cashier
58,Account Manager
59,Data Entry
63,Administrative Assistant
64,Shipping Receiving
69,Housekeeper
74,Food Service
75,Security Officer
78,Attendant
79,Barista
81,Host
83,Receptionist
91,Driver Helper
92,Child Care
95,Custodian
98,Stocker
100,Baker
101,Delivery Driver
105,Material Handler
106,Front Desk
111,Dispatcher
112,Courier
113,Welder
114,File Clerk
116,Secretary
118,Forklift
119,Collections
122,Machine Operator
129,Guest Service
130,Bartender
132,Chef
136,Night Auditor
139,Package Handler
141,Credit Clerk
143,Crew Member
146,Department Manager
147,Kitchen Staff
148,Accounts Payable
149,Accounts Receivable
151,Route Sales
153,Sales Assistant
155,Office Manager
158,Asset Protection
159,Retail Sales
160,Store Manager
161,Installer
169,Loss Prevention
175,Sanitation
176,Cook
178,Pharmacy Clerk
181,Janitor
186,Restaurant Manager
187,Dishwasher
188,Line Cook
189,Prep Cook
191,Purchasing
195,Meat Cutter
197,Assistant Store Manager
199,Mail Clerk
200,Cake Decorator
201,Busser
202,Kitchen Manager
203,Warehouse Manager
208,Room Attendant
214,Assistant Restaurant Manager
218,Store Supervisor
222,Catering
225,Account Coordinator
227,Production Worker
229,Restaurant Supervisor
231,Caregiver
238,Warehouse Supervisor
240,Equipment Operator
253,Bookkeeper
254,Office Administrator
256,Automotive Technician
259,Porter
261,Route Driver
262,Grocery Manager
265,CDL Driver
277,Nursing Assistant
313,Team Member
321,Production Supervisor
333,Maintenance Mechanic
334,Security Supervisor
335,Kitchen Supervisor
338,Retail Associate
339,Payroll
343,Pharmacy Technician
344,Certified Pharmacy Technician
345,Licensed Pharmacy Technician
347,Pharmacy Technician Trainee
348,Clinical Pharmacy Technician
349,Pharmacy Assistant
351,Certified Nursing Assistant CNA
355,Medical Assistant
357,Medical Receptionist
360,Unit Clerk
361,Unit Secretary
394,Clinical Assistant
408,Construction
409,Restaurant Shift Manager
410,Restaurant Shift Lead
411,Restaurant Management Trainee
412,Catering Manager
413,Restaurant Server
414,Restaurant Cashier
415,Server Assistant
416,Restaurant Team Member
417,Beverage Server
418,Grill Cook
419,Expeditor
420,Food Team Member
421,Counter Service
422,Dietary Aide
423,Cafeteria
424,Concessions
425,Banquet
430,Store Receiver
431,In-Store Shopper
432,Teller
433,Courtesy Clerk
434,Produce Clerk
435,Bakery Clerk
436,Deli Clerk
437,Floral Clerk
438,Shopper
439,Department Supervisor
440,Keyholder
441,Store Manager Trainee
442,Retail Shift Manager
443,Hotel Manager
444,Hotel Supervisor
445,Call Center Manager
446,Front Desk Manager
447,Front Desk Supervisor
448,Customer Service Manager
449,Guest Service Manager
450,Customer Service Rep
451,Reservations Agent
452,Member Service
453,Concierge
454,Office Assistant
455,Switchboard
456,Human Resources
457,Billing
458,Benefits Specialist
459,Distribution Manager
460,Distribution Supervisor
461,Warehouse Team Lead
462,Warehouse Shift Manager
463,Warehouse Department Manager
464,Inventory Manager
465,Warehouse Operations
466,Warehouse Associate
467,Housekeeping Manager
468,Housekeeping Supervisor
469,Environmental Services Manager
470,Environmental Services Supervisor
471,Cleaning Manager
472,Cleaning Supervisor
473,Executive Housekeeper
474,Sanitation Manager
475,Sanitation Supervisor
476,Environmental Services Aide
477,Cleaner
478,Laundry
479,Sanitation Worker
480,Floor Tech
481,Maintenance Manager
482,Maintenance Supervisor
483,Facilities Manager
484,Facilities Supervisor
485,Shop Manager
486,Shop Supervisor
487,Foreman
488,Fleet Manager
489,Fleet Supervisor
490,Maintenance Technician
491,Maintenance Worker
492,Handyman
493,Facilities Technician
494,Facilities Maintenance
495,Maintenance Apprentice
496,HVAC Technician
497,Electrician
498,Automotive Mechanic
499,Lube Technician
500,Tire Technician
501,Fleet Technician
502,Fleet Mechanic
503,Service Technician
504,Detailer
505,Service Advisor
506,Security Manager
507,Prevention Manager
508,Protection Manager
509,Safety Manager
510,Safety Supervisor
511,Prevention Supervisor
512,Protection Supervisor
513,Environmental Manager
514,Patrol
515,Correctional Officer
516,Investigator
517,Safety Officer
518,Officer Trainee
519,Transport Driver
520,OTR Driver
521,Trailer Driver
522,Warehouse Driver
523,City Driver
524,Local Driver
525,Bus Driver
526,Gig Driver
527,Car Transporter
532,Health Aide
533,Patient Care
566,Patient Service
567,Patient Access
568,Scheduler
569,Medical Office
570,Admissions Clerk
571,Records
572,Pharmacy Cashier
573,Retail Pharmacy Tech
574,Pharmacy Technician Supervisor
575,Sales Representative
576,Outside Sales
577,Inside Sales
578,Sales Merchandiser
579,Sales Trainee
580,Sales Manager
584,Laborer
588,Food Service Worker
591,Meat Clerk
598,Residential Driver
599,Tanker Driver
604,Van Driver
611,Flight Attendant
612,Activity Assistant
613,Medication Aide
614,Resident Assistant
615,FSW
616,Babysitter
617,Nanny
618,Teacher Assistant
619,Camp Staff
620,Youth Worker
621,CC7
622,CC8
623,CC9
624,OPEN
625,**Blank*
626,Automotive Apprentice
627,Parking
629,Grocery Associate
634,Recruiting
635,Employee Relations
636,Staffing
637,DEI
638,Workplace Safety
639,Labor Compliance
641,Health Screener
642,Certified Medical Assistant
644,Medical Asst.
645,Medical Assist
646,Med Assistant
647,Med. Assistant
