Company,Industry,JobTitle,JobCategory,Category ID
McDonald's,Restaurant (8),Shift Manager,Restaurant Shift Manager,409
CVS,Retail (3),Shift Manager / Shift Supervisor,Retail Shift Manager,442
,,,,
Dollar Tree,Retail (3),Customer Service Rep,Customer Service,35
Randstad,Staffing (32),Customer Service Rep,Customer Service Rep,450
Spectrum,"Media, Communications & Writing (12)",Customer Service Rep,Customer Service Rep,450
XPO Logistics,Transportation & Logistics (7),Customer Service Rep,Customer Service Rep,450
,,,,
Jamba,Restaurant (8),Team Member,Food Team Member,420
Ace Hardware,Retail (3),Team Member,Team Member,313
,,,,
Buffalo Wild Wings,Restaurant (8),Cashier,Restaurant Cashier,414
Home Depot,Retail (3),Cashier,Cashier,36
